"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.onlinepokerbonuses.com/","1270","245","5,184","87,064","Easy","","","","","","","","","","en","ad16d1743a5d34eeb89b375b9376369a","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/betonline-poker/","638","117","5,453","75,328","Fairly Easy","","","","","","","","","","en","48a0de9df33ec101c82efc6d8be3a64a","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/responsible-gambling/","259","37","7,000","71,033","Fairly Easy","","","","","","","","","","en","cfaa2086be792c219e60a7c067715a7f","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/news/","1835","304","6,036","80,793","Easy","","","","","","","","","","en","d39d1bf01a700b3221d4b0c76456ee93","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/bonus-types/","620","95","6,526","72,219","Fairly Easy","","","","","","","","","","en","232f51c5ddc20d2bc80da86b6e05fc63","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/black-chip-poker/","633","118","5,364","86,853","Easy","","","","","","","","","","en","b4c50d8aab3768502cc0a82c7a893d97","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/canada/","719","139","5,173","72,626","Fairly Easy","","","","","","","","","","en","512a1c4dc571e183614ba12385014e12","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/news/crypto-network-fees-poker-deposits-2026/","1451","179","8,106","76,576","Fairly Easy","","","","","","","","","","en","b7aef4047cc65e2ef3a30e244fda5a0b","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/americas-cardroom/","702","132","5,318","76,224","Fairly Easy","","","","","","","","","","en","d7b730dabb209a58d219325c97d912f7","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/sportsbetting-ag/","570","125","4,560","69,370","Normal","","","","","","","","","","en","9abd465494707d9263783bf9d0955132","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/tigergaming/","540","108","5,000","74,390","Fairly Easy","","","","","","","","","","en","40bee492beb3887dbfc2e536a238579","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/about/","294","46","6,391","71,434","Fairly Easy","","","","","","","","","","en","c686588e52a81a4be1e25719b02c76b9","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/best-poker-bonuses/","1338","242","5,529","85,135","Easy","","","","","","","","","","en","bae4ce5f993d26b7f0c52773f5c48bc3","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/usa/","770","144","5,347","75,387","Fairly Easy","","","","","","","","","","en","fdf4fe0f19e7bb97de29abcbcacc7eb2","Non-Indexable","Canonicalised"
