"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.onlinepokerbonuses.com/","1","index, follow","","","https://onlinepokerbonuses.com/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/betonline-poker/","1","index, follow","","","https://onlinepokerbonuses.com/reviews/betonline-poker/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/responsible-gambling/","1","index, follow","","","https://onlinepokerbonuses.com/responsible-gambling/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/news/","1","index, follow","","","https://onlinepokerbonuses.com/news/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","0","","","","","","Indexable",""
"https://www.onlinepokerbonuses.com/bonus-types/","1","index, follow","","","https://onlinepokerbonuses.com/bonus-types/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/black-chip-poker/","1","index, follow","","","https://onlinepokerbonuses.com/reviews/black-chip-poker/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/canada/","1","index, follow","","","https://onlinepokerbonuses.com/canada/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/news/crypto-network-fees-poker-deposits-2026/","1","index, follow","","","https://onlinepokerbonuses.com/news/crypto-network-fees-poker-deposits-2026/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/_next/static/chunks/webpack-cb86a99cd2f791d1.js?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","0","","","","","","Indexable",""
"https://www.onlinepokerbonuses.com/_next/static/chunks/main-app-f73cdb3bce740b12.js?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","0","","","","","","Indexable",""
"https://www.onlinepokerbonuses.com/_next/static/chunks/231-f35b59634dca96cb.js?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","0","","","","","","Indexable",""
"https://www.onlinepokerbonuses.com/reviews/americas-cardroom/","1","index, follow","","","https://onlinepokerbonuses.com/reviews/americas-cardroom/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/reviews/sportsbetting-ag/","1","index, follow","","","https://onlinepokerbonuses.com/reviews/sportsbetting-ag/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/_next/static/chunks/app/layout-e03966a4221a717c.js?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","0","","","","","","Indexable",""
"https://www.onlinepokerbonuses.com/_next/static/css/8818d3c3d86e4941.css?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","0","","","","","","Indexable",""
"https://www.onlinepokerbonuses.com/reviews/tigergaming/","1","index, follow","","","https://onlinepokerbonuses.com/reviews/tigergaming/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/about/","1","index, follow","","","https://onlinepokerbonuses.com/about/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/_next/static/chunks/23-87d72bc5bbe349b7.js?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","0","","","","","","Indexable",""
"https://www.onlinepokerbonuses.com/best-poker-bonuses/","1","index, follow","","","https://onlinepokerbonuses.com/best-poker-bonuses/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/usa/","1","index, follow","","","https://onlinepokerbonuses.com/usa/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/_next/static/chunks/app/page-92d109387bdaafa5.js?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","0","","","","","","Indexable",""
"https://www.onlinepokerbonuses.com/how-to-claim/","1","index, follow","","","https://onlinepokerbonuses.com/how-to-claim/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/news/icm-explained-tournament-poker-2026/","1","index, follow","","","https://onlinepokerbonuses.com/news/icm-explained-tournament-poker-2026/","","Non-Indexable","Canonicalised"
"https://www.onlinepokerbonuses.com/_next/static/chunks/app/how-to-claim/page-9a985a4875d92424.js?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","0","","","","","","Indexable",""
"https://www.onlinepokerbonuses.com/news/ontario-regulated-vs-offshore-poker-2026/","1","index, follow","","","https://onlinepokerbonuses.com/news/ontario-regulated-vs-offshore-poker-2026/","","Non-Indexable","Canonicalised"
