"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.onlinepokerbonuses.com/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Best Online Poker Bonuses 2026 — US & Canada","44","430","Compare the best online poker bonuses for 2026. Exclusive welcome offers up to $2,000, bonus codes and rakeback deals for US and Canadian players, ranked by real value.","168","1063","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","The Best Online Poker Bonuses of 2026","37","Top Poker Bonuses Compared","26","2026's Best Poker Bonus Offers","30","index, follow","","","https://onlinepokerbonuses.com/","","","","","","83921","14444","14444","2,141","","1270","245","5,184","87,064","Easy","9,943","0","0","","143","48","0","100,000","60","22","0","0","0","0","","","","","ad16d1743a5d34eeb89b375b9376369a","0,204","Thu, 13 Aug 2026 13:01:18 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/","2026-08-13 16:01:18"
"https://www.onlinepokerbonuses.com/reviews/betonline-poker/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","BetOnline Poker Review 2026 — 100% up to $1,000 Bonus (Code POKER1000) | OnlinePokerBonuses.com","95","931","BetOnline Poker review for 2026: 100% up to $1,000 welcome bonus, clearing terms, banking, pros and cons. Our verdict for US & Canada players.","142","895","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","BetOnline Poker Review","22","The BetOnline welcome bonus","27","Games & traffic","15","index, follow","","","https://onlinepokerbonuses.com/reviews/betonline-poker/","","","","","","45045","8846","8846","1,311","","638","117","5,453","75,328","Fairly Easy","11,011","1","2","","78","48","0","100,000","30","15","0","0","0","0","","","","","48a0de9df33ec101c82efc6d8be3a64a","0,374","Thu, 13 Aug 2026 13:01:18 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/reviews/betonline-poker/","2026-08-13 16:01:18"
"https://www.onlinepokerbonuses.com/responsible-gambling/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Responsible Gambling — Play Safe & Get Support | OnlinePokerBonuses.com","71","682","Responsible gambling resources for US and Canada players: how to set limits, recognise problem gambling, and where to get free, confidential help.","146","905","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","Responsible Gambling","20","Play within your limits","23","Warning signs of problem gambling","33","index, follow","","","https://onlinepokerbonuses.com/responsible-gambling/","","","","","","25036","5483","5483","0,813","","259","37","7,000","71,033","Fairly Easy","10,441","1","1","","97","48","0","100,000","25","14","0","0","0","0","","","","","cfaa2086be792c219e60a7c067715a7f","0,425","Thu, 13 Aug 2026 13:01:18 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/responsible-gambling/","2026-08-13 16:01:18"
"https://www.onlinepokerbonuses.com/news/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Poker News & Bonus Updates 2026 — US & Canada | OnlinePokerBonuses.com","70","697","The latest online poker news, bonus updates, tournament coverage and strategy for US and Canada players. Fresh analysis on Americas Cardroom, BetOnline, WPN, Chico and more.","173","1116","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","Poker News & Bonus Updates","26","Ready to claim a welcome bonus?","31","","0","index, follow","","","https://onlinepokerbonuses.com/news/","","","","","","120421","17203","17203","2,549","","1835","304","6,036","80,793","Easy","9,575","1","1","","131","48","0","100,000","128","48","0","0","0","0","","","","","d39d1bf01a700b3221d4b0c76456ee93","0,416","Thu, 13 Aug 2026 13:01:18 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/news/","2026-08-13 16:01:18"
"https://www.onlinepokerbonuses.com/bonus-types/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Types of Poker Bonuses Explained — Welcome, No Deposit & Rakeback | OnlinePokerBonuses.com","90","874","A plain-English guide to every type of online poker bonus: welcome/first-deposit matches, no-deposit bonuses, rakeback, reload bonuses, freerolls and VIP rewards.","162","1003","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","Types of Poker Bonuses Explained","32","Poker Bonus Types FAQ","21","","0","index, follow","","","https://onlinepokerbonuses.com/bonus-types/","","","","","","35203","6974","6974","1,034","","620","95","6,526","72,219","Fairly Easy","13,632","1","1","","127","48","0","100,000","26","14","0","0","0","0","","","","","232f51c5ddc20d2bc80da86b6e05fc63","0,206","Thu, 13 Aug 2026 13:01:19 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/bonus-types/","2026-08-13 16:01:18"
"https://www.onlinepokerbonuses.com/reviews/black-chip-poker/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Black Chip Poker Review 2026 — 100% up to $2,000 Bonus (Code CP1000BCP) | OnlinePokerBonuses.com","96","938","Black Chip Poker review for 2026: 100% up to $2,000 welcome bonus, clearing terms, banking, pros and cons. Our verdict for US & Canada players.","143","900","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","Black Chip Poker Review","23","The Black Chip welcome bonus","28","Games & traffic","15","index, follow","","","https://onlinepokerbonuses.com/reviews/black-chip-poker/","","","","","","44479","8601","8601","1,275","","633","118","5,364","86,853","Easy","10,661","1","2","","76","48","0","100,000","30","15","0","0","0","0","","","","","b4c50d8aab3768502cc0a82c7a893d97","0,214","Thu, 13 Aug 2026 13:01:19 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/reviews/black-chip-poker/","2026-08-13 16:01:18"
"https://www.onlinepokerbonuses.com/canada/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Best Canada Online Poker Bonuses 2026 — For Canadian Players | OnlinePokerBonuses.com","85","821","The best online poker bonuses for Canadian players in 2026. CAD-friendly rooms, welcome offers up to $2,000, fast crypto payouts and how online poker works across Canada.","170","1082","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","Best Canada Online Poker Bonuses","32","Online poker in Canada","22","Deposits, CAD and crypto","24","index, follow","","","https://onlinepokerbonuses.com/canada/","","","","","","49119","8306","8306","1,231","","719","139","5,173","72,626","Fairly Easy","11,135","1","1","","119","48","0","100,000","40","19","0","0","0","0","","","","","512a1c4dc571e183614ba12385014e12","0,284","Thu, 13 Aug 2026 13:01:19 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/canada/","2026-08-13 16:01:18"
"https://www.onlinepokerbonuses.com/news/crypto-network-fees-poker-deposits-2026/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Crypto Network Fees: The Hidden Cost of Funding Your Poker Account | OnlinePokerBonuses.com","91","868","The coin you choose to deposit with can quietly cost you more than the poker room ever charges. Here's how US and Canada players can cut network fees when funding an offshore account in 2026.","191","1217","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","Crypto Network Fees: The Hidden Cost of Funding Your Poker Account","66","What a network fee actually is","30","Why the coin you choose matters so much","39","index, follow","","","https://onlinepokerbonuses.com/news/crypto-network-fees-poker-deposits-2026/","","","","","","53825","10559","10559","1,565","","1451","179","8,106","76,576","Fairly Easy","17,597","1","2","","21","7","0","14,580","41","17","0","0","0","0","","","","","b7aef4047cc65e2ef3a30e244fda5a0b","0,746","Thu, 13 Aug 2026 13:01:19 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/news/crypto-network-fees-poker-deposits-2026/","2026-08-13 16:01:18"
"https://www.onlinepokerbonuses.com/reviews/americas-cardroom/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Americas Cardroom Review 2026 — 100% up to $2,000 Bonus (Code WELCOME100) | OnlinePokerBonuses.com","98","987","Americas Cardroom review for 2026: 100% up to $2,000 welcome bonus, clearing terms, banking, pros and cons. Our verdict for US & Canada players.","144","920","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","Americas Cardroom Review","24","The ACR Poker welcome bonus","27","Games & traffic","15","index, follow","","","https://onlinepokerbonuses.com/reviews/americas-cardroom/","","","","","","46169","9154","9154","1,357","","702","132","5,318","76,224","Fairly Easy","11,706","1","2","","82","48","0","100,000","30","15","0","0","0","0","","","","","d7b730dabb209a58d219325c97d912f7","0,190","Thu, 13 Aug 2026 13:01:19 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/reviews/americas-cardroom/","2026-08-13 16:01:19"
"https://www.onlinepokerbonuses.com/reviews/sportsbetting-ag/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","SportsBetting.ag Review 2026 — 100% up to $1,000 Bonus (Code NEWSB) | OnlinePokerBonuses.com","92","896","SportsBetting.ag review for 2026: 100% up to $1,000 welcome bonus, clearing terms, banking, pros and cons. Our verdict for US & Canada players.","143","902","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","SportsBetting.ag Review","23","The SportsBetting.ag welcome bonus","34","Games & traffic","15","index, follow","","","https://onlinepokerbonuses.com/reviews/sportsbetting-ag/","","","","","","44267","8522","8522","1,263","","570","125","4,560","69,370","Normal","10,533","1","2","","61","48","0","100,000","30","15","0","0","0","0","","","","","9abd465494707d9263783bf9d0955132","0,297","Thu, 13 Aug 2026 13:01:19 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/reviews/sportsbetting-ag/","2026-08-13 16:01:19"
"https://onlinepokerbonuses.com/","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","0","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,076","","https://www.onlinepokerbonuses.com/","HTTP Redirect","","","1.1","","","","","","https://onlinepokerbonuses.com/","2026-08-13 16:01:19"
"https://www.onlinepokerbonuses.com/reviews/tigergaming/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","TigerGaming Review 2026 — 100% up to $1,000 Bonus (Code NEWTG) | OnlinePokerBonuses.com","87","865","TigerGaming review for 2026: 100% up to $1,000 welcome bonus, clearing terms, banking, pros and cons. Our verdict for US & Canada players.","138","876","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","TigerGaming Review","18","The TigerGaming welcome bonus","29","Games & traffic","15","index, follow","","","https://onlinepokerbonuses.com/reviews/tigergaming/","","","","","","43468","8405","8405","1,246","","540","108","5,000","74,390","Fairly Easy","10,085","1","2","","66","48","0","100,000","30","15","0","0","0","0","","","","","40bee492beb3887dbfc2e536a238579","0,303","Thu, 13 Aug 2026 13:01:19 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/reviews/tigergaming/","2026-08-13 16:01:19"
"https://www.onlinepokerbonuses.com/about/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","About OnlinePokerBonuses.com — Independent Poker Bonus Reviews | OnlinePokerBonuses.com","87","864","How OnlinePokerBonuses.com reviews and ranks online poker bonuses for US and Canada players, our editorial standards, and how we make money.","140","923","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","About OnlinePokerBonuses.com","28","What we do","10","How we review","13","index, follow","","","https://onlinepokerbonuses.com/about/","","","","","","23326","5269","5269","0,781","","294","46","6,391","71,434","Fairly Easy","12,006","1","1","","96","48","0","100,000","26","14","0","0","0","0","","","","","c686588e52a81a4be1e25719b02c76b9","0,185","Thu, 13 Aug 2026 13:01:19 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/about/","2026-08-13 16:01:19"
"https://www.onlinepokerbonuses.com/best-poker-bonuses/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Best Online Poker Bonuses 2026 — Ranked & Compared | OnlinePokerBonuses.com","75","740","The 5 best online poker bonuses for 2026, ranked by real value. Compare welcome matches up to $2,000, bonus codes, clearing terms and rakeback for US & Canada players.","167","1066","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","Best Online Poker Bonuses of 2026","33","The Rankings, Reviewed","22","How We Rank Poker Bonuses","25","index, follow","","","https://onlinepokerbonuses.com/best-poker-bonuses/","","","","","","73447","12908","12908","1,913","","1338","242","5,529","85,135","Easy","12,020","1","1","","251","48","0","100,000","45","19","0","0","0","0","","","","","bae4ce5f993d26b7f0c52773f5c48bc3","0,239","Thu, 13 Aug 2026 13:01:19 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/best-poker-bonuses/","2026-08-13 16:01:19"
"https://www.onlinepokerbonuses.com/usa/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Best US Online Poker Bonuses 2026 — For American Players | OnlinePokerBonuses.com","81","780","The best online poker bonuses for US players in 2026. Offshore rooms that accept Americans, welcome offers up to $2,000, crypto banking and state-by-state legality explained.","174","1084","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","Best US Online Poker Bonuses","28","Is online poker legal in the US?","32","Banking: why US players use crypto","34","index, follow","","","https://onlinepokerbonuses.com/usa/","","","","","","49630","8503","8503","1,260","","770","144","5,347","75,387","Fairly Easy","11,538","1","1","","113","48","0","100,000","39","19","0","0","0","0","","","","","fdf4fe0f19e7bb97de29abcbcacc7eb2","0,356","Thu, 13 Aug 2026 13:01:19 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/usa/","2026-08-13 16:01:19"
"https://www.onlinepokerbonuses.com/how-to-claim/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","How to Claim an Online Poker Bonus — Step-by-Step Guide 2026 | OnlinePokerBonuses.com","85","816","A simple step-by-step guide to claiming an online poker welcome bonus: choosing a room, entering your bonus code, depositing, and clearing the bonus with rake.","159","992","online poker bonuses,poker welcome bonus,poker bonus codes,US poker bonuses,Canada poker bonuses,poker rakeback,Americas Cardroom bonus,BetOnline poker bonus","157","How to Claim an Online Poker Bonus","34","Bonus Codes at a Glance","23","Claiming a Bonus — FAQ","22","index, follow","","","https://onlinepokerbonuses.com/how-to-claim/","","","","","","41526","7533","7533","1,116","","590","94","6,277","78,296","Fairly Easy","10,945","1","1","","133","48","0","100,000","26","14","0","0","0","0","","","","","2e6c94d2cce8a26f8d560bca7626cfc5","0,262","Thu, 13 Aug 2026 13:01:20 GMT","","","","en","1.1","","","","","","https://www.onlinepokerbonuses.com/how-to-claim/","2026-08-13 16:01:19"
"https://onlinepokerbonuses.com/usa/","text/html","308","Permanent Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","2","1","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,074","","https://www.onlinepokerbonuses.com/usa/","HTTP Redirect","","","1.1","","","","","","https://onlinepokerbonuses.com/usa/","2026-08-13 16:01:19"
